curation,Variable ID,Variable name,Variable synonyms,Context of use,Growth stage,Variable status,Variable Xref,Institution,Scientist,Date,Language,Crop,Trait ID,Trait name,Trait class,Trait description,Trait synonyms,Main trait abbreviation,Alternative trait abbreviations,Entity,Attribute,Trait status,Trait Xref,Method ID,Method name,Method class,Method description,Formula,Method reference,Scale ID,Scale name,Scale class,Decimal places,Lower limit,Upper limit,Scale Xref,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,Category 7,Category 8,Category 9,Category 10
,CO_369:0000001,CanHt_Htmsr_cm,,,"V1,E1,B1,B2",Recommended,,Adana Alparslan Türkeş Science and Technology University - 013z3yn41,Muhammet Sakirgolu - 0000-0002-7024-4348,2022-09-20 00:00:00,EN,Sainfoin,CO_369:0001001,Canopy height,Morphological,"The height of a plant, plot, or group of plants when measured from the soil surface to the growing apex or average growing apex of the plant(s).",,CanHt,,Canopy,height,Recommended,,CO_369:0002050,Plant natural height measurement,Measurement,"Description: Measure the natural height of plants

 Materials: metric ruler/tape measure

 Dependent_on:

 Protocol:
 1. For a single plant, place the origin of the ruler at the base of the plant on the surface of the soil.
 2. Record the vertical distance to the growing apices of the plant or the average height of the plant if the growing apices are lower than the tallest points of the plant (i.e. when the growth habit is not erect).
 3. Repeat for as many plants as necessary and average the results for the entire plot, group.",,,CO_369:0003003,centimeter,Numerical,,,,UO:0000015,,,,,,,,,,
,CO_369:0000002,CLL_CLLmsr_mm,leaf length,breeding selection,E1,Recommended,,Adana Alparslan Türkeş Science and Technology University - 013z3yn41,Muhammet Sakirgolu - 0000-0002-7024-4348,2022-09-20 00:00:00,EN,Sainfoin,CO_369:0001002,Compound leaf length,Morphological,The total length of a compound leaf from the base of the petiole to the distal end of the terminal leaflet.,,CLL,,Compound leaf,length,Recommended,,CO_369:0002003,Compound leaf length measurement,Measurement,"Description: Measurement of the length of a compound leaf

 Materials: Metric ruler or tape measure

 Dependent_on:

 Protocol:
 1. Select a mature, fully-expanded compound leaf
 2. Lay the compound leaf out on a flat surface and record the length from the proximal end of the petiole to the distal end of the terminal leaflet.",,"A Study on the Determination of the Morphological Yield and Quality Characteristics of some Sainfoin Species (Onobrychis Spp.) Native to East Anatolia. Melih Okcu and Suleyman Sengul. Pak. J. Bot., 46(5): 1837-1842, 2014",CO_369:0003021,millimeter,Numerical,,,,UO:0000016,,,,,,,,,,
,CO_369:0000003,FlCol_FlColmsr_CIELAB,,,"F1,F2",Recommended,,Adana Alparslan Türkeş Science and Technology University - 013z3yn41,Muhammet Sakirgolu - 0000-0002-7024-4348,2022-09-20 00:00:00,EN,Sainfoin,CO_369:0001003,Flower color,Morphological,"The color of a flower or group of flowers from a plant, expressed as a vector of float values on a color scale of choice.",,FlCol,,Flower,color,Recommended,,CO_369:0002007,Flower color measurement,Measurement,"Description: Measure the color of flowers in CIELAB color space

 Materials: handheld or benchtop colorimeter

 Dependent_on:

 Protocol:
 1. Sample flowers according to your sampling protocol.
 2. Measure the color of a flower or a set of flowers using the colorimeter.
 3. Express the average value as a vector [x, y, z] in the CIELAB color model.",,"Identification of Sainfoin Species (Onobrychis spp.) from Morphologic Characters and Flower Colour by L*a*b*, RGB and HSV Colours by Principle Component Analysis. Celalettin Aygun et al. Journal of Applied Biological Sciences. 2146-0108 12 (3):45-52, 2018.;
 Transcriptomic and chemical analyses to identify candidate genes involved in color variation of sainfoin flowers. Yu Qiao, Qiming Cheng, Yutong Zhang, Wei Yan, Fengyan Yi, Fengling Shi. BMC Plant BIology, 2021, 21:61",CO_369:0003002,CIELAB,Code,,,,,,,,,,,,,,
,CO_369:0000004,FlFert_FlPctFertcmp_%,,breeding selection,"P2,P3",Recommended,,"Adana Alparslan Türkeş Science and Technology University - 013z3yn41,The Land Institute - 00jxaym78","Muhammet Sakirgolu - 0000-0002-7024-4348,Brandon Schlautman - 0000-0002-9983-259X",2022-09-20 00:00:00,EN,Sainfoin,CO_369:0001004,Flower fertilization,Agronomic,The percentage of flowers on a raceme or group of racemes that were fertilized and developed into legume fruit.,,FlFert,,Flower,fertilization,Recommended,,CO_369:0002010,Flower percent fertilization computation,Computation,"Description: Record the percentage of flowers that were fertilized on a raceme.

 Materials: loupe (if needed)

 Dependent_on: Legume fruit cnt [n], Flower number cnt [n]

 Protocol:
 1. Sample racemes according to your sampling protocol.
 2. Record the flower number on each raceme
 3. Record the fruit number on each raceme
 4. For each raceme, divide the fruit number by the flower number to get a percentage of flowers fertilized.
 5. For more than one raceme, record the average percent fertilization as a percentage",,,CO_369:0003001,percent,Numerical,,,,UO:0000187,,,,,,,,,,
,CO_369:0000005,FlN_FlNRacmp_n/Ra,,,F2,Recommended,,The Land Institute - 00jxaym78,Brandon Schlautman - 0000-0002-9983-259X,2022-06-02 00:00:00,EN,Sainfoin,CO_369:0001005,Flower number,Agronomic,"The total number of flowers counted, estimated, or observed.",,FlN,,Flower,number,Recommended,,CO_369:0002009,Flower number per raceme computation,Computation,"Description: Count the total number of flowers or flower scars that are present on a raceme.

 Materials: loupe (if needed);

 Dependent_on: Flower number cnt [n], Raceme number cnt [n]

 Protocol:
 1. Select racemes according to your sampling protocol.
 2. Count and record the number of flowers or flower scars on each raceme.
 3. Record the average number of leaves per raceme.",,,CO_369:0003025,number per raceme,Numerical,,,,UO:0000189/PO:0030115,,,,,,,,,,
,CO_369:0000006,FlN_FlNcnt_n,,,F2,Recommended,,The Land Institute - 00jxaym78,Brandon Schlautman - 0000-0002-9983-259X,2022-06-14 00:00:00,EN,Sainfoin,CO_369:0001005,Flower number,Agronomic,"The total number of flowers counted, estimated, or observed.",,FlN,,Flower,number,Recommended,,CO_369:0002008,Flower number counting,Counting,"Description: Count the total number of flowers present

 Materials: loupe (if needed);

 Dependent_on:

 Protocol:
 1. Sample racemes, inflorescences, stems, or plants according to your sampling protocol.
 2. Count and record the total number of visible flowers and flower scars that are present.
 3. Express as an integer",,,CO_369:0003023,number,Numerical,,,,UO:0000189,,,,,,,,,,
,CO_369:0000007,FoADFC_ADFmsr_g/kg,,,"E1,PH1",Recommended,,"The Land Institute - 00jxaym78,Adana Alparslan Türkeş Science and Technology University - 013z3yn41","Brandon Schlautman - 0000-0002-9983-259X,Muhammet Sakirgolu - 0000-0002-7024-4348",2022-06-23 00:00:00,EN,Sainfoin,CO_369:0001006,Forage ADF content,Quality,The total forage fiber content as determined by the acid detergent fiber method.,,FoADFC,,Forage,ADF content,Recommended,,CO_369:0002001,Acid detergent fiber measurement,Measurement,"Description: Measurement of acid detergent fiber with acid detergent solution

 Materials: See protocol

 Dependent_on:

 Protocol:
 1. See https://uwlab.soils.wisc.edu/wp-content/uploads/sites/17/2015/09/forage_ADF.pdf","ADF = frac{(W0 - Wt)*(100)}{S}


 W0 = mass of dried crucible with fiber
 Wt = tared mass of dried, empty crucible.
 S = oven-dry sample weight",https://uwlab.soils.wisc.edu/wp-content/uploads/sites/17/2015/09/forage_ADF.pdf,CO_369:0003008,gram per kilogram,Numerical,,,,UO:0000021/UO:0000009,,,,,,,,,,
,CO_369:0000008,FoADLC_ADLmsr_g/kg,,,"E1,PH1",Recommended,,"The Land Institute - 00jxaym78,Adana Alparslan Türkeş Science and Technology University - 013z3yn41","Brandon Schlautman - 0000-0002-9983-259X,Muhammet Sakirgolu - 0000-0002-7024-4348",2022-06-23 00:00:00,EN,Sainfoin,CO_369:0001007,Forage ADL content,Quality,The total forage lignin content as determined by one of several methods,,FoADLC,,Forage,ADL content,Recommended,,CO_369:0002002,Acid detergent lignin measurement,Measurement,"Description: Measurement of acid detergent lignin with acid detergent solution

 Materials: See protocol

 Dependent_on:

 Protocol:
 1. See https://uwlab.soils.wisc.edu/wp-content/uploads/sites/17/2015/09/forage_lignin.pdf","ADL = {L*100}/S

 Where L = Loss from ADF upon ignition after 72% H2SO4 treatment and S = oven-dry sample weight",https://uwlab.soils.wisc.edu/wp-content/uploads/sites/17/2015/09/forage_lignin.pdf,CO_369:0003008,gram per kilogram,Numerical,,,,UO:0000021/UO:0000009,,,,,,,,,,
,CO_369:0000009,FoAC_FoACmsr_%,,,"E1,PH1",Recommended,,"The Land Institute - 00jxaym78,Adana Alparslan Türkeş Science and Technology University - 013z3yn41","Brandon Schlautman - 0000-0002-9983-259X,Muhammet Sakirgolu - 0000-0002-7024-4348",2022-10-26 00:00:00,EN,Sainfoin,CO_369:0001008,Forage ash content,Quality,The total ash content,,FoAC,,Forage,ash content,Recommended,,CO_369:0002013,Forage ash content measurement,Measurement,"Description: Determine the ash content of a sample of forage

 Materials: muffle furnace; porcelain crucibles; laboratory balance;

 Dependent_on:

 Protocol:
 1. Sample forage according to your sampling protocol.
 2. Weigh crucible and record weight to 4 decimal places.
 3. Weigh approximately 2 g into crucible.
 4. Record weight to 4 decimal places.
 5. Ash sample at 600oC for 2 h. (Bring temperature rapidly to 600)
 6. Cool in desiccator and weigh within 1 h after reaching room temperature.
 7. Weigh ashed sample and record weight to 4 decimal places.
 8. Calculate % Ash and record value with one decimal.
 9. https://www.clemson.edu/public/regulatory/ag-srvc-lab/feed-forage/procedure20.html",%Ash=frac{(ashed_wt-crucible_wt)*100}{(crucible_wt + sample_wt)-crucible_wt},,CO_369:0003001,percent,Numerical,,,,UO:0000187,,,,,,,,,,
,CO_369:0000010,FoCPC_CPCmsr_g/kg,,breeding selection,"E1,PH1",Recommended,"Guglielmelli et al., 2011","The Land Institute - 00jxaym78,Adana Alparslan Türkeş Science and Technology University - 013z3yn41","Brandon Schlautman - 0000-0002-9983-259X,Muhammet Sakirgolu - 0000-0002-7024-4348",2022-06-23 00:00:00,EN,Sainfoin,CO_369:0001009,Forage crude protein content,Quality,The total crude protein content of forage,,FoCPC,,Forage,crude protein content,Recommended,,CO_369:0002004,Crude protein content measurement,Measurement,"Description: Determination of crude protein content by macro Khedjal method

 Materials: See protocol

 Dependent_on:

 Protocol:
 1. See https://uwlab.soils.wisc.edu/wp-content/uploads/sites/17/2015/09/forage_CP.pdf",,https://uwlab.soils.wisc.edu/wp-content/uploads/sites/17/2015/09/forage_CP.pdf,CO_369:0003008,gram per kilogram,Numerical,,,,UO:0000021/UO:0000009,,,,,,,,,,
